source,target,country,meaning,source_word
The leaves turn orange in the fall.,The leaves turn orange in the autumn.,British,The season between summer and winter,fall
She loves the cool weather in fall.,She loves the cool weather in autumn.,British,The season between summer and winter,fall
Fall is her favorite season.,Autumn is her favorite season.,British,The season between summer and winter,fall
center -> centre,center -> centre,British,The central part of an area or town,center
He lives near the city center.,He lives near the city centre.,British,The central part of an area or town,center
Thereâs a park in the center of town.,Thereâs a park in the centre of town.,British,The central part of an area or town,center
The shopping center is very crowded.,The shopping centre is very crowded.,British,The central part of an area or town,center
theater -> theatre,theater -> theatre,British,A building where performances or movies are shown,theater
They went to the theater to watch the play.,They went to the theatre to watch the play.,British,A building where performances or movies are shown,theater
The theater was packed for the opening night.,The theatre was packed for the opening night.,British,A building where performances or movies are shown,theater
I love going to the theater on weekends.,I love going to the theatre on weekends.,British,A building where performances or movies are shown,theater
fiber -> fibre,fiber -> fibre,British,A substance that is found in plant foods and is important for digestion,fiber
The fiber content in the bread is high.,The fibre content in the bread is high.,British,A substance that is found in plant foods and is important for digestion,fiber
Fiber optics are used in modern communication.,Fibre optics are used in modern communication.,British,A substance that is found in plant foods and is important for digestion,fiber
She eats a lot of fiber in her diet.,She eats a lot of fibre in her diet.,British,A substance that is found in plant foods and is important for digestion,fiber
liter -> litre,liter -> litre,British,A metric unit of volume,liter
The recipe calls for one liter of milk.,The recipe calls for one litre of milk.,British,A metric unit of volume,liter
She drank two liters of water today.,She drank two litres of water today.,British,A metric unit of volume,liter
I need a liter of orange juice.,I need a litre of orange juice.,British,A metric unit of volume,liter
meter -> metre,meter -> metre,British,A unit of length in the metric system,meter
The room is 5 meters wide.,The room is 5 metres wide.,British,A unit of length in the metric system,meter
The meter is a standard unit of measurement.,The metre is a standard unit of measurement.,British,A unit of length in the metric system,meter
He measured the distance in meters.,He measured the distance in metres.,British,A unit of length in the metric system,meter
kilometer -> kilometre,kilometer -> kilometre,British,A unit of distance in the metric system,kilometer
The race is 10 kilometers long.,The race is 10 kilometres long.,British,A unit of distance in the metric system,kilometer
The nearest city is 15 kilometers away.,The nearest city is 15 kilometres away.,British,A unit of distance in the metric system,kilometer
He ran 5 kilometers this morning.,He ran 5 kilometres this morning.,British,A unit of distance in the metric system,kilometer
caliber -> calibre,caliber -> calibre,British,"The quality or level of something, especially in terms of skill or ability",caliber
He has a high caliber of skills.,He has a high calibre of skills.,British,"The quality or level of something, especially in terms of skill or ability",caliber
The caliber of the candidates was impressive.,The calibre of the candidates was impressive.,British,"The quality or level of something, especially in terms of skill or ability",caliber
She has a caliber of expertise that is unmatched.,She has a calibre of expertise that is unmatched.,British,"The quality or level of something, especially in terms of skill or ability",caliber
somber -> sombre,somber -> sombre,British,"Serious, grave, or sad in tone or mood",somber
He gave a somber speech at the funeral.,He gave a sombre speech at the funeral.,British,"Serious, grave, or sad in tone or mood",somber
The somber news was hard to hear.,The sombre news was hard to hear.,British,"Serious, grave, or sad in tone or mood",somber
She wore a somber expression all day.,She wore a sombre expression all day.,British,"Serious, grave, or sad in tone or mood",somber
neighbor -> neighbour,neighbor -> neighbour,British,A person who lives near or next to another,neighbor
My neighbor is always friendly.,My neighbour is always friendly.,British,A person who lives near or next to another,neighbor
The neighborâs dog barked all night.,The neighbourâs dog barked all night.,British,A person who lives near or next to another,neighbor
He became good friends with his neighbors.,He became good friends with his neighbours.,British,A person who lives near or next to another,neighbor
favorite -> favourite,favorite -> favourite,British,Preferred above all others,favorite
Chocolate is my favorite treat.,Chocolate is my favourite treat.,British,Preferred above all others,favorite
My favorite color is blue.,My favourite color is blue.,British,Preferred above all others,favorite
He is my favorite author.,He is my favourite author.,British,Preferred above all others,favorite
rumor -> rumour,rumor -> rumour,British,A story or statement in circulation without confirmation,rumor
I heard a rumor about the party.,I heard a rumour about the party.,British,A story or statement in circulation without confirmation,rumor
There was a rumor that the company was closing.,There was a rumour that the company was closing.,British,A story or statement in circulation without confirmation,rumor
A rumor spread quickly through the office.,A rumour spread quickly through the office.,British,A story or statement in circulation without confirmation,rumor
mold -> mould,mold -> mould,British,"A fungal growth that occurs on organic matter, often resulting in decay",mold
The mold grew on the bread overnight.,The mould grew on the bread overnight.,British,"A fungal growth that occurs on organic matter, often resulting in decay",mold
There was mold in the corner of the room.,There was mould in the corner of the room.,British,"A fungal growth that occurs on organic matter, often resulting in decay",mold
The bread has mold on it.,The bread has mould on it.,British,"A fungal growth that occurs on organic matter, often resulting in decay",mold
color -> colour,color -> colour,British,The characteristic of visual perception described through color names,color
The color of the sky was beautiful at sunset.,The colour of the sky was beautiful at sunset.,British,The characteristic of visual perception described through color names,color
She painted the walls in a light color.,She painted the walls in a light colour.,British,The characteristic of visual perception described through color names,color
I love bright colors in my wardrobe.,I love bright colours in my wardrobe.,British,The characteristic of visual perception described through color names,color
behavior -> behaviour,behavior -> behaviour,British,The way a person conducts themselves,behavior
His behavior at the meeting was inappropriate.,His behaviour at the meeting was inappropriate.,British,The way a person conducts themselves,behavior
The childâs behavior was disturbing.,The childâs behaviour was disturbing.,British,The way a person conducts themselves,behavior
Their behavior at the party was unacceptable.,Their behaviour at the party was unacceptable.,British,The way a person conducts themselves,behavior
flavor -> flavour,flavor -> flavour,British,The distinctive taste of food or drink,flavor
The flavor of the soup was amazing.,The flavour of the soup was amazing.,British,The distinctive taste of food or drink,flavor
This cake has a strong flavor of chocolate.,This cake has a strong flavour of chocolate.,British,The distinctive taste of food or drink,flavor
He enjoys the flavor of spicy food.,He enjoys the flavour of spicy food.,British,The distinctive taste of food or drink,flavor
labor -> labour,labor -> labour,British,"Work, especially physical work or work in a specific field",labor
The labor market is recovering.,The labour market is recovering.,British,"Work, especially physical work or work in a specific field",labor
The company is hiring more labor.,The company is hiring more labour.,British,"Work, especially physical work or work in a specific field",labor
She worked hard in the labor force.,She worked hard in the labour force.,British,"Work, especially physical work or work in a specific field",labor
armor -> armour,armor -> armour,British,A protective covering used in combat,armor
The knight wore heavy armor in battle.,The knight wore heavy armour in battle.,British,A protective covering used in combat,armor
He polished his armor before the fight.,He polished his armour before the fight.,British,A protective covering used in combat,armor
The soldierâs armor was quite advanced.,The soldierâs armour was quite advanced.,British,A protective covering used in combat,armor
honor -> honour,honor -> honour,British,A high standard of respect and ethical conduct,honor
The knightâs honor was unquestionable.,The knightâs honour was unquestionable.,British,A high standard of respect and ethical conduct,honor
She defended her honor in front of the king.,She defended her honour in front of the king.,British,A high standard of respect and ethical conduct,honor
Itâs a matter of personal honor.,Itâs a matter of personal honour.,British,A high standard of respect and ethical conduct,honor
savior -> saviour,savior -> saviour,British,A person who saves others from harm,savior
He is the savior of the village.,He is the saviour of the village.,British,A person who saves others from harm,savior
The hero was seen as a savior.,The hero was seen as a saviour.,British,A person who saves others from harm,savior
The village's savior was celebrated.,The village's saviour was celebrated.,British,A person who saves others from harm,savior
apologize -> apologise,apologize -> apologise,British,To express regret for an action,apologize
I must apologize for the mistake.,I must apologise for the mistake.,British,To express regret for an action,apologize
She apologized for being late.,She apologised for being late.,British,To express regret for an action,apologize
I will apologize to him later.,I will apologise to him later.,British,To express regret for an action,apologize
realize -> realise,realize -> realise,British,To become aware of something,realize
I realize the importance of this task.,I realise the importance of this task.,British,To become aware of something,realize
She realized she was running late.,She realised she was running late.,British,To become aware of something,realize
We need to realize the impact of our actions.,We need to realise the impact of our actions.,British,To become aware of something,realize
recognize -> recognise,recognize -> recognise,British,To acknowledge something as familiar,recognize
"I recognize the face, but I donât know the name.","I recognise the face, but I donât know the name.",British,To acknowledge something as familiar,recognize
He recognized her voice immediately.,He recognised her voice immediately.,British,To acknowledge something as familiar,recognize
I didnât recognize him without his glasses.,I didnât recognise him without his glasses.,British,To acknowledge something as familiar,recognize
defense -> defence,defense -> defence,British,The action of protecting something from harm,defense
The defense of the country was a priority.,The defence of the country was a priority.,British,The action of protecting something from harm,defense
They prepared for the defense of their town.,They prepared for the defence of their town.,British,The action of protecting something from harm,defense
The defense team argued their case well.,The defence team argued their case well.,British,The action of protecting something from harm,defense
offense,offence,British,An illegal act or crime,offense
The offense was serious and required attention.,The offence was serious and required attention.,British,An illegal act or crime,offense
He committed an offense by speeding.,He committed an offence by speeding.,British,An illegal act or crime,offense
They were charged with a criminal offense.,They were charged with a criminal offence.,British,An illegal act or crime,offense
license,licence,British,An official document giving permission,license
He lost his license due to the violation.,He lost his licence due to the violation.,British,An official document giving permission,license
I need to renew my driver's license.,I need to renew my driver's licence.,British,An official document giving permission,license
She showed her license at the gate.,She showed her licence at the gate.,British,An official document giving permission,license
analog,analogue,British,A system or device that uses continuous data,analog
This is an analog watch.,This is an analogue watch.,British,A system or device that uses continuous data,analog
The analog signal was clear.,The analogue signal was clear.,British,A system or device that uses continuous data,analog
I prefer the analog method for calculations.,I prefer the analogue method for calculations.,British,A system or device that uses continuous data,analog
dialog,dialogue,British,A conversation between two or more people,dialog
We had an interesting dialog about politics.,We had an interesting dialogue about politics.,British,A conversation between two or more people,dialog
The dialog was very engaging.,The dialogue was very engaging.,British,A conversation between two or more people,dialog
She was part of an important dialog on climate change.,She was part of an important dialogue on climate change.,British,A conversation between two or more people,dialog
canceled,cancelled,British,To call off or terminate something,canceled
The concert was canceled due to rain.,The concert was cancelled due to rain.,British,To call off or terminate something,canceled
They canceled the meeting at the last minute.,They cancelled the meeting at the last minute.,British,To call off or terminate something,canceled
The event was canceled unexpectedly.,The event was cancelled unexpectedly.,British,To call off or terminate something,canceled
jewelry,jewellery,British,"Personal adornments, such as rings and necklaces",jewelry
She wore beautiful jewelry at the party.,She wore beautiful jewellery at the party.,British,"Personal adornments, such as rings and necklaces",jewelry
I bought a new piece of jewelry for my collection.,I bought a new piece of jewellery for my collection.,British,"Personal adornments, such as rings and necklaces",jewelry
He gave her a jewelry box for her birthday.,He gave her a jewellery box for her birthday.,British,"Personal adornments, such as rings and necklaces",jewelry
marvelous,marvellous,British,Extremely good or impressive,marvelous
The performance was marvelous.,The performance was marvellous.,British,Extremely good or impressive,marvelous
She had a marvelous time on vacation.,She had a marvellous time on vacation.,British,Extremely good or impressive,marvelous
It was a truly marvelous sight.,It was a truly marvellous sight.,British,Extremely good or impressive,marvelous
traveled,travelled,British,"To journey to a place, usually far away",traveled
I have traveled to many countries.,I have travelled to many countries.,British,"To journey to a place, usually far away",traveled
We traveled by train across Europe.,We travelled by train across Europe.,British,"To journey to a place, usually far away",traveled
He has traveled extensively throughout Asia.,He has travelled extensively throughout Asia.,British,"To journey to a place, usually far away",traveled
equaled,equalled,British,To be equal to or match,equaled
The final score equaled 100 points.,The final score equalled 100 points.,British,To be equal to or match,equaled
Their achievements equaled the best in history.,Their achievements equalled the best in history.,British,To be equal to or match,equaled
The result finally equaled our expectations.,The result finally equalled our expectations.,British,To be equal to or match,equaled
fueling,fuelling,British,To provide fuel to a vehicle,fueling
They are fueling the car at the gas station.,They are fuelling the car at the gas station.,British,To provide fuel to a vehicle,fueling
I will be fueling up my car before the trip.,I will be fuelling up my car before the trip.,British,To provide fuel to a vehicle,fueling
The station is fueling the trucks for the delivery.,The station is fuelling the trucks for the delivery.,British,To provide fuel to a vehicle,fueling
quarreling,quarrelling,British,To argue or have a conflict,quarreling
They are quarreling about the decision.,They are quarrelling about the decision.,British,To argue or have a conflict,quarreling
The siblings were quarreling over the toy.,The siblings were quarrelling over the toy.,British,To argue or have a conflict,quarreling
They quarreled all afternoon without resolution.,They quarrelled all afternoon without resolution.,British,To argue or have a conflict,quarreling
counselor,counsellor,British,A person who provides guidance and advice,counselor
She is a school counselor.,She is a school counsellor.,British,A person who provides guidance and advice,counselor
The counselor helped me with my career plans.,The counsellor helped me with my career plans.,British,A person who provides guidance and advice,counselor
He works as a counselor at a rehabilitation center.,He works as a counsellor at a rehabilitation center.,British,A person who provides guidance and advice,counselor
check,cheque,British,A written order directing a bank to pay money,check
I will write a check for the payment.,I will write a cheque for the payment.,British,A written order directing a bank to pay money,check
She handed over the check for the bill.,She handed over the cheque for the bill.,British,A written order directing a bank to pay money,check
He received a check in the mail.,He received a cheque in the mail.,British,A written order directing a bank to pay money,check
dreamed,dreamt,British,To experience thoughts and images during sleep,dreamed
I dreamed about flying last night.,I dreamt about flying last night.,British,To experience thoughts and images during sleep,dreamed
She dreamt of a faraway place.,She dreamt of a faraway place.,British,To experience thoughts and images during sleep,dreamed
I had a strange dream last night.,I had a strange dreamt last night.,British,To experience thoughts and images during sleep,dreamed
learned,learnt,British,To acquire knowledge or skill through study or experience,learned
He learned the skills quickly.,He learnt the skills quickly.,British,To acquire knowledge or skill through study or experience,learned
She learnt to speak Spanish in six months.,She learnt to speak Spanish in six months.,British,To acquire knowledge or skill through study or experience,learned
I have learned a lot from this experience.,I have learnt a lot from this experience.,British,To acquire knowledge or skill through study or experience,learned
burned,burnt,British,Past tense of burn,burned
I accidentally burned the toast.,I accidentally burnt the toast.,British,Past tense of burn,burned
The house was burned down in the fire.,The house was burnt down in the fire.,British,Past tense of burn,burned
The burned pages were scattered everywhere.,The burnt pages were scattered everywhere.,British,Past tense of burn,burned
appetizer,starter,British,A small dish before the main meal,appetizer
I ordered an appetizer before the main course.,I ordered a starter before the main course.,British,A small dish before the main meal,appetizer
"The appetizer was delicious, especially the soup.","The starter was delicious, especially the soup.",British,A small dish before the main meal,appetizer
We decided to skip the appetizer to save room for the dessert.,We decided to skip the starter to save room for the dessert.,British,A small dish before the main meal,appetizer
bangs,fringe,British,A haircut with the front part of the hair cut to hang over the forehead,bangs
She cut her bangs short.,She cut her fringe short.,British,A haircut with the front part of the hair cut to hang over the forehead,bangs
I love how her bangs frame her face.,I love how her fringe frames her face.,British,A haircut with the front part of the hair cut to hang over the forehead,bangs
"She has curly hair, but her bangs are straight.","She has curly hair, but her fringe is straight.",British,A haircut with the front part of the hair cut to hang over the forehead,bangs
barrette,hairslide,British,A clip used to hold hair in place,barrette
She wore a barrette in her hair.,She wore a hairslide in her hair.,British,A clip used to hold hair in place,barrette
I can't find my barrette.,I can't find my hairslide.,British,A clip used to hold hair in place,barrette
She uses a barrette to hold her hair back.,She uses a hairslide to hold her hair back.,British,A clip used to hold hair in place,barrette
counter-clockwise,anticlockwise,British,The opposite direction to the movement of the hands of a clock,counter-clockwise
Turn the knob counter-clockwise.,Turn the knob anticlockwise.,British,The opposite direction to the movement of the hands of a clock,counter-clockwise
The wheel turned counter-clockwise.,The wheel turned anticlockwise.,British,The opposite direction to the movement of the hands of a clock,counter-clockwise
"To loosen the screw, turn it counter-clockwise.","To loosen the screw, turn it anticlockwise.",British,The opposite direction to the movement of the hands of a clock,counter-clockwise
drugstore,chemist,British,A store that sells medicine and other healthcare products,drugstore
I need to go to the drugstore to get some medicine.,I need to go to the chemist to get some medicine.,British,A store that sells medicine and other healthcare products,drugstore
The drugstore is closed on Sundays.,The chemist is closed on Sundays.,British,A store that sells medicine and other healthcare products,drugstore
I picked up some medicine from the drugstore.,I picked up some medicine from the chemist.,British,A store that sells medicine and other healthcare products,drugstore
eggplant,aubergine,British,"A purple vegetable, also called a brinjal",eggplant
I love to cook with eggplant in the summer.,I love to cook with aubergine in the summer.,British,"A purple vegetable, also called a brinjal",eggplant
Eggplant is my favorite vegetable in curry.,Aubergine is my favourite vegetable in curry.,British,"A purple vegetable, also called a brinjal",eggplant
This recipe calls for one eggplant.,This recipe calls for one aubergine.,British,"A purple vegetable, also called a brinjal",eggplant
expressway,motorway,British,"A wide road for fast traffic, especially one connecting cities",expressway
The expressway is always busy during rush hour.,The motorway is always busy during rush hour.,British,"A wide road for fast traffic, especially one connecting cities",expressway
We need to take the expressway to get to the airport.,We need to take the motorway to get to the airport.,British,"A wide road for fast traffic, especially one connecting cities",expressway
The expressway was closed for maintenance.,The motorway was closed for maintenance.,British,"A wide road for fast traffic, especially one connecting cities",expressway
French fries,chips,British,"Potato pieces fried until crispy, often served with meals",French fries
I love to eat French fries with my burger.,I love to eat chips with my burger.,British,"Potato pieces fried until crispy, often served with meals",French fries
They serve French fries as a side dish in many restaurants.,They serve chips as a side dish in many restaurants.,British,"Potato pieces fried until crispy, often served with meals",French fries
Would you like some French fries with that?,Would you like some chips with that?,British,"Potato pieces fried until crispy, often served with meals",French fries
garbage can,dustbin,British,A container for waste,garbage can
Please throw the trash in the garbage can.,Please throw the trash in the dustbin.,British,A container for waste,garbage can
"The garbage can is full, we need to take it out.","The dustbin is full, we need to take it out.",British,A container for waste,garbage can
There was a garbage can on every corner of the street.,There was a dustbin on every corner of the street.,British,A container for waste,garbage can
gas,petrol,British,A fuel used in internal combustion engines,gas
I need to fill up my car with gas.,I need to fill up my car with petrol.,British,A fuel used in internal combustion engines,gas
Gas prices are rising again.,Petrol prices are rising again.,British,A fuel used in internal combustion engines,gas
The gas station is on the right.,The petrol station is on the right.,British,A fuel used in internal combustion engines,gas
jump rope,skipping rope,British,A rope used for the game of jumping over it while it is swung,jump rope
I used to jump rope every morning.,I used to skip with a skipping rope every morning.,British,A rope used for the game of jumping over it while it is swung,jump rope
She can do double jumps with the jump rope.,She can do double jumps with the skipping rope.,British,A rope used for the game of jumping over it while it is swung,jump rope
The kids were playing jump rope outside.,The kids were playing skipping rope outside.,British,A rope used for the game of jumping over it while it is swung,jump rope
liquor store,off-licence,British,A store that sells alcoholic beverages,liquor store
I need to stop by the liquor store.,I need to stop by the off-licence.,British,A store that sells alcoholic beverages,liquor store
They were closed at the liquor store.,They were closed at the off-licence.,British,A store that sells alcoholic beverages,liquor store
She bought wine from the liquor store.,She bought wine from the off-licence.,British,A store that sells alcoholic beverages,liquor store
mailbox,postbox,British,A box for receiving or sending mail,mailbox
The mailbox was full of letters.,The postbox was full of letters.,British,A box for receiving or sending mail,mailbox
I forgot to check the mailbox.,I forgot to check the postbox.,British,A box for receiving or sending mail,mailbox
She dropped the letter in the mailbox.,She dropped the letter in the postbox.,British,A box for receiving or sending mail,mailbox
movie theater,cinema,British,A building where movies are shown,movie theater
Let's go to the movie theater tonight.,Let's go to the cinema tonight.,British,A building where movies are shown,movie theater
I love watching movies at the movie theater.,I love watching movies at the cinema.,British,A building where movies are shown,movie theater
The movie theater was packed with people.,The cinema was packed with people.,British,A building where movies are shown,movie theater
popsicle,ice lolly,British,A frozen dessert made from flavored water or juice,popsicle
I ate a popsicle on a hot day.,I ate an ice lolly on a hot day.,British,A frozen dessert made from flavored water or juice,popsicle
She loves strawberry popsicles.,She loves strawberry ice lollies.,British,A frozen dessert made from flavored water or juice,popsicle
He made a popsicle with fruit juice.,He made an ice lolly with fruit juice.,British,A frozen dessert made from flavored water or juice,popsicle
There was a long line outside the movie theater.,There was a long queue outside the cinema.,British,line of people or vehicles that are waiting for something.,line
People stood in line to buy tickets for the concert.,People stood in a queue to buy tickets for the concert.,British,line of people or vehicles that are waiting for something.,line
I waited in line at the coffee shop for almost twenty minutes.,I waited in the queue at the coffee shop for almost twenty minutes.,British,line of people or vehicles that are waiting for something.,line
"I sent the mail yesterday, and it should arrive soon.","I sent the post yesterday, and it should arrive soon.",British,public service or system by which letters and packages are collected and delivered.,mail
Please check the mail before you leave the house.,Please check the post before you leave the house.,British,public service or system by which letters and packages are collected and delivered.,mail
The mail arrives at noon every day in our neighborhood.,The post arrives at noon every day in our neighbourhood.,British,public service or system by which letters and packages are collected and delivered.,mail
The doorman helped me with my luggage as I entered the hotel.,The porter helped me with my luggage as I entered the hotel.,British,a person whose job is to be in charge of the entrance of a building such as a hotel.,doorman
She greeted the doorman as she walked into the building.,She greeted the porter as she walked into the building.,British,a person whose job is to be in charge of the entrance of a building such as a hotel.,doorman
The doorman opened the door for guests at the entrance.,The porter opened the door for guests at the entrance.,British,a person whose job is to be in charge of the entrance of a building such as a hotel.,doorman
He's too cheap to pay for anything beyond the basics.,He's too mean to pay for anything beyond the basics.,British,unwilling to spend much money or to use very much of a particular thing.,cheap
My friend is cheap and always avoids spending money.,My friend is mean and always avoids spending money.,British,unwilling to spend much money or to use very much of a particular thing.,cheap
She’s cheap when it comes to buying gifts for others.,She’s mean when it comes to buying gifts for others.,British,unwilling to spend much money or to use very much of a particular thing.,cheap
He pulled out a ten-dollar bill to pay for his coffee.,He pulled out a ten-pound note to pay for his coffee.,British, pieces of paper money.,bill
I gave her a five-dollar bill as a tip.,I gave her a five-pound note as a tip.,British, pieces of paper money.,bill
Can you break this twenty-dollar bill for me?,Can you break this twenty-pound note for me?,British, pieces of paper money.,bill
He decided to dump his old computer in the garage.,He decided to tip his old computer in the garage.,British,get rid of it by leaving it somewhere.,dump
Some people dump their trash in public spaces.,Some people tip their rubbish in public spaces.,British,get rid of it by leaving it somewhere.,dump
It’s illegal to dump waste on the side of the road.,It’s illegal to tip waste on the side of the road.,British,get rid of it by leaving it somewhere.,dump
He bought a pack of chips at the store.,He bought a packet of crisps at the shop.,British,an amount of it contained in a packet.,pack
She opened a pack of sugar for her coffee.,She opened a packet of sugar for her coffee.,British,an amount of it contained in a packet.,pack
Can you pass me that pack of tissues?,Can you pass me that packet of tissues?,British,an amount of it contained in a packet.,pack
I’m planning a vacation to Europe this summer.,I’m planning a holiday to Europe this summer.,British,period of time during which you relax and enjoy yourself away from home.,vacation
She’s on vacation from work for two weeks.,She’s on holiday from work for two weeks.,British,period of time during which you relax and enjoy yourself away from home.,vacation
We usually take a vacation in July.,We usually take a holiday in July.,British,period of time during which you relax and enjoy yourself away from home.,vacation
There’s a traffic circle at the end of the street.,There’s a roundabout at the end of the road.,British,a circular structure in the road where several roads meet.,traffic circle
The new traffic circle made driving through town easier.,The new roundabout made driving through town easier.,British,a circular structure in the road where several roads meet.,traffic circle
You need to take the second exit at the traffic circle.,You need to take the second exit at the roundabout.,British,a circular structure in the road where several roads meet.,traffic circle
The line was busy when I tried to call.,The line was engaged when I tried to call.,British,"If a phone or a phone line is engaged, it is already being used by someone else.",busy
"He tried calling again, but the phone was still busy.","He tried calling again, but the phone was still engaged.",British,"If a phone or a phone line is engaged, it is already being used by someone else.",busy
My call didn’t go through because the line was busy.,My call didn’t go through because the line was engaged.,British,"If a phone or a phone line is engaged, it is already being used by someone else.",busy
The song begins with a half note in the melody.,The song begins with a minim in the melody.,British,a musical note that has a time value equal to two crotchets or two quarter notes.,half note
She held the half note for two beats.,She held the minim for two beats.,British,a musical note that has a time value equal to two crotchets or two quarter notes.,half note
The composer included a half note in the final bar.,The composer included a minim in the final bar.,British,a musical note that has a time value equal to two crotchets or two quarter notes.,half note
She was initialing the document before submitting it.,She was initialling the document before submitting it.,British,describe something that happens at the beginning of a process.,"initialing, initialed"
He initialed each page to confirm his review.,He initialled each page to confirm his review.,British,describe something that happens at the beginning of a process.,"initialing, initialed"
Please ensure all forms are initialed before filing.,Please ensure all forms are initialled before filing.,British,describe something that happens at the beginning of a process.,"initialing, initialed"
They live in a small apartment in the city.,They live in a small flat in the city.,British,"set of rooms for living in, usually on one floor and part of a larger building.",apartment
I just moved into a new apartment near my office.,I just moved into a new flat near my office.,British,"set of rooms for living in, usually on one floor and part of a larger building.",apartment
The apartment is on the third floor of the building.,The flat is on the third floor of the building.,British,"set of rooms for living in, usually on one floor and part of a larger building.",apartment
The event is centered around local art.,The event is centred around local art.,British,"If an industry or event is centred in a place, it takes place to the greatest extent there.",centered
The discussion was centered on economic growth.,The discussion was centred on economic growth.,British,"If an industry or event is centred in a place, it takes place to the greatest extent there.",centered
The festival is centered in the heart of the city.,The festival is centred in the heart of the city.,British,"If an industry or event is centred in a place, it takes place to the greatest extent there.",centered
The store offers a reduction for senior citizens.,The store offers a concession for senior citizens.,British,a special price which is lower than the usual price and often given to certain groups.,reduction
Students receive a reduction on museum tickets.,Students receive a concession on museum tickets.,British,a special price which is lower than the usual price and often given to certain groups.,reduction
He asked if there was a reduction available for veterans.,He asked if there was a concession available for veterans.,British,a special price which is lower than the usual price and often given to certain groups.,reduction
The newspaper’s editorial criticized the new policy.,The newspaper’s leader criticized the new policy.,British,a piece of writing that gives the editor's opinion on an important news item.,editorial
She wrote an editorial about environmental issues.,She wrote a leader about environmental issues.,British,a piece of writing that gives the editor's opinion on an important news item.,editorial
The editorial called for changes in government policy.,The leader called for changes in government policy.,British,a piece of writing that gives the editor's opinion on an important news item.,editorial
I put my groceries in the trunk of the car.,I put my groceries in the boot of the car.,British,"The boot of a car is a covered space at the back or front, used for carrying things.",trunk
The suitcase didn’t fit in the trunk.,The suitcase didn’t fit in the boot.,British,"The boot of a car is a covered space at the back or front, used for carrying things.",trunk
She opened the trunk to load her luggage.,She opened the boot to load her luggage.,British,"The boot of a car is a covered space at the back or front, used for carrying things.",trunk
I will call you after work.,I will ring you after work.,British,"When you ring someone, you phone them.",call
Can you call me when you get there?,Can you ring me when you get there?,British,"When you ring someone, you phone them.",call
She forgot to call her friend on his birthday.,She forgot to ring her friend on his birthday.,British,"When you ring someone, you phone them.",call
He offered me a piece of candy.,He offered me a sweet.,British,"small sweet things such as toffees, chocolates, and mints.",candy
She loves chocolate and other candy.,She loves chocolate and other sweets.,British,"small sweet things such as toffees, chocolates, and mints.",candy
Kids are not allowed to eat too much candy.,Kids are not allowed to eat too many sweets.,British,"small sweet things such as toffees, chocolates, and mints.",candy
My workday starts at 9 a.m. and ends at 5 p.m.,My working day starts at 9 a.m. and ends at 5 p.m.,British,the amount of time during a normal day or week which you spend doing your job.,workday
She has a five-day work week.,She has a five-day working week.,British,the amount of time during a normal day or week which you spend doing your job.,work week
The workday feels long on Mondays.,The working day feels long on Mondays.,British,the amount of time during a normal day or week which you spend doing your job.,workday
She filled the bathtub with warm water.,She filled the bath with warm water.,British,"container, usually a long rectangular one, which you fill with water and sit in while you wash your body.",bathtub
The bathtub in our hotel room was huge.,The bath in our hotel room was huge.,British,"container, usually a long rectangular one, which you fill with water and sit in while you wash your body.",bathtub
He soaked in the bathtub for an hour.,He soaked in the bath for an hour.,British,"container, usually a long rectangular one, which you fill with water and sit in while you wash your body.",bathtub
The cashier opened the cash register to give me change.,The cashier opened the till to give me change.,British,"a counter or cash register where money is kept, and where customers pay for what they have bought.",cash register
She counted the money in the cash register.,She counted the money in the till.,British,"a counter or cash register where money is kept, and where customers pay for what they have bought.",cash register
The store’s cash register broke down during the sale.,The store’s till broke down during the sale.,British,"a counter or cash register where money is kept, and where customers pay for what they have bought.",cash register
She waited in the hall before the meeting started.,She waited in the hallway before the meeting started.,British,a building is a long passage with doors into rooms on both sides of it.,hall
The hall was decorated with paintings.,The hallway was decorated with paintings.,British,a building is a long passage with doors into rooms on both sides of it.,hall
They walked down the hall to the main room.,They walked down the hallway to the main room.,British,a building is a long passage with doors into rooms on both sides of it.,hall
The freight car was loaded with goods.,The wagon was loaded with goods.,British,a large container on wheels which is pulled by a train.,freight car
They attached another freight car to the train.,They attached another wagon to the train.,British,a large container on wheels which is pulled by a train.,freight car
The freight car carried supplies across the country.,The wagon carried supplies across the country.,British,a large container on wheels which is pulled by a train.,freight car
Her eyes are a beautiful shade of gray.,Her eyes are a beautiful shade of grey.,British,colour of ashes or of clouds on a rainy day.,gray
The sky turned gray before the storm.,The sky turned grey before the storm.,British,colour of ashes or of clouds on a rainy day.,gray
He wore a gray suit to the event.,He wore a grey suit to the event.,British,colour of ashes or of clouds on a rainy day.,gray
His calm demeanor made him easy to approach.,His calm demeanour made him easy to approach.,British,"the way you behave, which gives people an impression of your character and feelings.",demeanor
She maintained a professional demeanor at all times.,She maintained a professional demeanour at all times.,British,"the way you behave, which gives people an impression of your character and feelings.",demeanor
His cheerful demeanor brightened everyone's day.,His cheerful demeanour brightened everyone's day.,British,"the way you behave, which gives people an impression of your character and feelings.",demeanor
She opened a can of soup for lunch.,She opened a tin of soup for lunch.,British,metal container filled with food and sealed to preserve it.,can
They bought a can of beans for dinner.,They bought a tin of beans for dinner.,British,metal container filled with food and sealed to preserve it.,can
